age,gender,weight_kg,height_m,max_bpm,avg_bpm,resting_bpm,session_duration_hours,calories_burned,workout_type,fat_percentage,water_intake_liters,workout_frequency_daysweek,experience_level,bmi,daily_meals_frequency,physical_exercise,carbs,proteins,fats,calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,name_of_exercise,sets,reps,benefit,burns_calories_per_30_min,target_muscle_group,equipment_needed,difficulty_level,body_part,type_of_muscle,workout,bmi_calc,cal_from_macros,pct_carbs,protein_per_kg,pct_hrr,pct_maxhr,cal_balance,lean_mass_kg,expected_burn,burns_calories_per_30_min_bc,burns_calories_bin,age_group
34,Male,65,1,188,157,69,1,1080,Strength,26,1,3,2,24,2,0,267,106,71,1806,Other,Lunch,Vegan,31,1729,285,120,Grilled,16,110,1,Decline Push-ups,4,20,Improves shoulder health and posture,342,"Shoulders, Triceps",Cable Machine,Advanced,Legs,Lats,Dumbbell flyes,24,2139,0,1,0,0,725,47,685,9223372036854775807,Medium,31-45
33,Female,58,1,175,123,54,0,802,Cardio,24,1,2,1,21,1,0,246,98,65,1608,Other,Breakfast,Paleo,42,2142,215,399,Boiled,54,6,4,Dips,5,21,Builds chest strength,359,"Quadriceps, Glutes",Step or Box,Intermediate,Arms,Grip Strength,Standing calf raises,21,1965,0,1,0,0,805,44,654,9223372036854775807,High,31-45
38,Female,93,1,191,155,50,1,1450,HIIT,32,2,3,1,32,3,0,203,80,54,2657,Other,Lunch,Paleo,9,123,9,314,Fried,27,103,4,Mountain Climbers,4,16,Improves coordination and cardiovascular health,351,"Biceps, Forearms",Parallel Bars or Chair,Advanced,Shoulders,Upper,Incline dumbbell flyes,32,1627,0,0,0,0,1206,63,773,9223372036854775807,High,31-45
53,Female,105,1,176,130,61,0,453,Yoga,32,2,3,1,31,2,0,170,67,46,2767,Other,Snack,Keto,15,2382,36,416,Steamed,20,54,3,Leg Press,4,25,Builds explosive power,374,"Core, Obliques",Resistance Band or Cable Machine,Beginner,Arms,Wrist Flexors,Skull crushers,31,1369,0,0,0,0,2313,71,516,9223372036854775807,Very High,46-60
23,Male,58,1,184,140,58,1,1953,Strength,20,2,4,3,18,2,0,280,112,74,1867,Other,Breakfast,Low-Carb,12,2220,56,289,Fried,52,46,3,Thrusters,5,25,Strengthens back and improves posture,328,Core,None or Dumbbells,Advanced,Shoulders,Wrist Flexors,Barbell rows,18,2245,0,1,0,0,-86,46,1098,9223372036854775807,Low,18-30
55,Female,84,1,183,141,51,1,727,Yoga,32,2,3,2,31,2,0,262,105,70,2191,Other,Snack,Low-Carb,2,1501,74,487,Raw,38,36,3,Turkish Get-ups,4,18,Improves core stability and upper body strength,363,"Back, Biceps",Pull-up Bar,Intermediate,Back,Lower,Hammer curl,31,2105,0,1,0,0,1463,57,734,9223372036854775807,Very High,46-60
24,Female,88,1,176,154,65,1,2062,Strength,27,3,4,3,27,3,0,173,69,45,2587,Other,Lunch,Vegan,0,293,188,123,Boiled,45,14,2,Glute Bridges,3,24,Full body workout,349,"Upper Chest, Triceps",Barbell,Beginner,Chest,Middle,Russian twists,27,1383,0,0,0,0,524,64,1230,9223372036854775807,High,18-30
39,Female,50,1,166,128,49,1,1157,Strength,21,2,2,1,19,3,0,191,76,50,1247,Other,Lunch,Paleo,50,757,291,415,Grilled,18,26,1,Step-ups,4,16,Builds chest strength,326,"Core, Lower Back",Low Bar or TRX,Intermediate,Forearms,Lower Chest,Towel pull-up,19,1527,0,1,0,0,89,39,763,9223372036854775807,Low,31-45
50,Male,86,1,160,143,57,1,1974,Strength,29,3,4,2,32,3,0,258,102,68,2476,Other,Breakfast,Keto,10,1356,170,270,Baked,41,119,2,Plank,4,17,Targets obliques and improves core rotation,356,"Lower Chest, Triceps",Wall,Intermediate,Abs,Triceps,Bicep Curls,32,2065,0,1,0,0,501,61,1203,9223372036854775807,High,46-60
27,Female,71,1,180,151,72,0,743,Strength,24,3,3,1,18,3,0,207,82,55,2046,Other,Lunch,Low-Carb,16,674,127,306,Roasted,47,119,4,Plyo Squats,4,15,Improves core stability,356,"Shoulders, Triceps",Barbell,Advanced,Chest,Middle,Hammer curls,18,1654,0,1,0,0,1302,54,535,9223372036854775807,High,18-30
40,Male,56,1,168,142,60,1,2189,Strength,21,2,5,3,19,1,0,192,76,51,1740,Other,Breakfast,Paleo,43,58,291,352,Raw,54,40,2,Frog Jumps,5,20,Strengthens back and improves posture,342,"Quadriceps, Hamstrings, Glutes",Bench or Sturdy Surface,Advanced,Forearms,Triceps,Donkey kicks,19,1538,0,1,0,0,-449,44,1280,9223372036854775807,Medium,31-45
37,Male,76,1,180,127,56,1,1305,Cardio,30,2,4,2,24,2,0,233,92,62,2166,Other,Breakfast,Low-Carb,27,434,271,370,Steamed,39,37,4,Step-ups,5,16,Improves balance and leg strength,356,"Quadriceps, Hamstrings, Glutes",Bench or Step,Beginner,Chest,Anterior,Decline dumbbell press,24,1868,0,1,0,0,860,53,970,9223372036854775807,High,31-45
